stazione_id;data;inquinante;valore
"4";2024-11-04;PM25;26
"6";2024-11-04;C6H6;1.9
"6";2024-11-04;CO_8h;1.2
"6";2024-11-04;NO2;52
"6";2024-11-04;PM10;30
"6";2024-11-04;PM25;23
"7";2024-11-04;NO2;63
"7";2024-11-04;O3;44
"7";2024-11-04;PM10;30
"2";2024-10-31;C6H6;2.4
"2";2024-10-31;NO2;51
"2";2024-10-31;O3;37
"2";2024-10-31;PM10;38
"2";2024-10-31;PM25;21
"2";2024-10-31;SO2;7
"3";2024-10-31;NO2;70
"4";2024-10-31;C6H6;1.5
"4";2024-10-31;CO_8h;1.7
"4";2024-10-31;NO2;58
"4";2024-10-31;PM10;49
"4";2024-10-31;PM25;27
"6";2024-10-31;C6H6;3.3
"6";2024-10-31;CO_8h;0.8
"6";2024-10-31;NO2;60
"6";2024-10-31;PM10;39
"6";2024-10-31;PM25;24
"7";2024-10-31;NO2;62
"7";2024-10-31;O3;38
"7";2024-10-31;PM10;35
"2";2024-10-30;C6H6;2.6
"2";2024-10-30;NO2;68
"2";2024-10-30;O3;40
"2";2024-10-30;PM10;33
"2";2024-10-30;PM25;18
"2";2024-10-30;SO2;6
"3";2024-10-30;NO2;64
"4";2024-10-30;C6H6;1.5
"4";2024-10-30;CO_8h;1.9
"4";2024-10-30;NO2;54
"4";2024-10-30;PM10;43
"4";2024-10-30;PM25;24
"6";2024-10-30;C6H6;3.7
"6";2024-10-30;CO_8h;0.9
"6";2024-10-30;NO2;58
"6";2024-10-30;PM10;
"6";2024-10-30;PM25;
"7";2024-10-30;NO2;62
"7";2024-10-30;O3;33
"7";2024-10-30;PM10;30
"2";2024-10-29;C6H6;2.2
"2";2024-10-29;NO2;48
"2";2024-10-29;O3;32
"2";2024-10-29;PM10;32
"2";2024-10-29;PM25;17
"2";2024-10-29;SO2;8
"3";2024-10-29;NO2;65
"4";2024-10-29;C6H6;1.5
"4";2024-10-29;CO_8h;1.8
"4";2024-10-29;NO2;66
"4";2024-10-29;PM10;38
"4";2024-10-29;PM25;21
"6";2024-10-29;C6H6;2.8
"6";2024-10-29;CO_8h;0.8
"6";2024-10-29;NO2;54
"6";2024-10-29;PM10;20
"6";2024-10-29;PM25;17
"7";2024-10-29;NO2;64
"7";2024-10-29;O3;31
"7";2024-10-29;PM10;29
"2";2024-10-28;C6H6;1.1
"2";2024-10-28;NO2;40
"2";2024-10-28;O3;47
"2";2024-10-28;PM10;25
"2";2024-10-28;PM25;12
"2";2024-10-28;SO2;2.5
"3";2024-10-28;NO2;52
"4";2024-10-28;C6H6;0.5
"4";2024-10-28;CO_8h;1.4
"4";2024-10-28;NO2;51
"4";2024-10-28;PM10;35
"4";2024-10-28;PM25;17
"6";2024-10-28;C6H6;1.3
"6";2024-10-28;CO_8h;0.7
"6";2024-10-28;NO2;48
"6";2024-10-28;PM10;22
"6";2024-10-28;PM25;13
"7";2024-10-28;NO2;59
"7";2024-10-28;O3;47
"7";2024-10-28;PM10;20
"2";2024-10-25;C6H6;0.5
"2";2024-10-25;NO2;20
"2";2024-10-25;O3;45
"2";2024-10-25;PM10;14
"2";2024-10-25;PM25;10
"2";2024-10-25;SO2;2.5
"3";2024-10-25;NO2;31
"4";2024-10-25;C6H6;0.5
"4";2024-10-25;CO_8h;0.9
"4";2024-10-25;NO2;44
"4";2024-10-25;PM10;20
"4";2024-10-25;PM25;14
"6";2024-10-25;C6H6;1
"6";2024-10-25;CO_8h;0.25
"6";2024-10-25;NO2;35
"6";2024-10-25;PM10;
"6";2024-10-25;PM25;10
"7";2024-10-25;NO2;38
"7";2024-10-25;O3;46
"7";2024-10-25;PM10;
"2";2024-10-24;C6H6;1.6
"2";2024-10-24;NO2;43
"2";2024-10-24;O3;38
"2";2024-10-24;PM10;35
"2";2024-10-24;PM25;21
"2";2024-10-24;SO2;5
"3";2024-10-24;NO2;57
"4";2024-10-24;C6H6;1.3
"4";2024-10-24;CO_8h;1.4
"4";2024-10-24;NO2;45
"4";2024-10-24;PM10;67
"4";2024-10-24;PM25;35
"6";2024-10-24;C6H6;2.3
"6";2024-10-24;CO_8h;0.6
"6";2024-10-24;NO2;58
"6";2024-10-24;PM10;23
"6";2024-10-24;PM25;24
"7";2024-10-24;NO2;57
"7";2024-10-24;O3;40
"7";2024-10-24;PM10;40
"2";2024-10-23;C6H6;1.5
"2";2024-10-23;NO2;50
"2";2024-10-23;O3;65
"2";2024-10-23;PM10;40
"2";2024-10-23;PM25;21
"2";2024-10-23;SO2;5
"3";2024-10-23;NO2;83
"4";2024-10-23;C6H6;1.4
"4";2024-10-23;CO_8h;1.4
"4";2024-10-23;NO2;78
"4";2024-10-23;PM10;60
"4";2024-10-23;PM25;30
"6";2024-10-23;C6H6;2.5
"6";2024-10-23;CO_8h;0.7
