DATE,NO2,TRANSITS,TEMPERATURE C,WIND km/h,RAIN
2022-01-11,89.0,116859.0,0.0,4,False
2022-01-12,109.0,118280.0,1.0,4,False
2022-01-13,109.0,121817.0,1.0,3,False
2022-01-14,133.0,131921.0,2.0,5,False
2022-01-17,89.0,115890.0,6.0,11,False
2022-01-18,71.0,123493.0,4.0,5,False
2022-01-19,85.0,125228.0,4.0,4,True
2022-01-20,96.0,124720.0,4.0,5,True
2022-01-21,74.0,125558.0,1.0,6,False
2022-01-24,68.0,113754.0,-1.0,5,False
2022-01-25,77.0,123522.0,2.0,8,False
2022-01-26,58.0,123750.0,2.0,5,False
2022-01-27,65.0,127147.0,1.0,5,True
2022-01-28,79.0,130569.0,5.0,11,False
2022-01-31,78.0,121779.0,6.0,10,False
2022-02-01,63.0,128941.0,11.0,18,False
2022-02-02,53.0,132740.0,12.0,15,False
2022-02-03,70.0,136717.0,8.0,9,False
2022-02-04,70.0,134738.0,8.0,5,True
2022-02-07,56.0,125635.0,9.0,21,False
2022-02-08,61.0,133018.0,5.0,4,False
2022-02-09,111.0,136732.0,7.0,6,False
2022-02-10,94.0,138594.0,8.0,4,True
2022-02-11,93.0,141497.0,10.0,9,True
2022-02-14,78.0,131162.0,4.0,5,True
2022-02-15,73.0,134660.0,3.0,7,True
2022-02-16,57.0,141764.0,4.0,5,False
2022-02-17,73.0,143801.0,8.0,7,False
2022-02-18,87.0,142112.0,7.0,7,False
2022-02-21,83.0,130184.0,11.0,13,False
2022-02-22,68.0,142229.0,12.0,14,False
2022-02-23,68.0,150761.0,9.0,6,False
2022-02-24,79.0,155154.0,8.0,4,False
2022-02-25,79.0,169045.0,9.0,13,False
2022-02-28,83.0,127576.0,5.0,8,False
2022-03-01,104.0,135764.0,6.0,9,False
2022-03-02,69.0,135965.0,6.0,6,False
2022-03-03,84.0,131599.0,9.0,5,False
2022-03-04,77.0,126764.0,8.0,9,False
2022-03-07,42.0,129456.0,5.0,5,False
2022-03-08,76.0,150616.0,5.0,9,False
2022-03-09,79.0,142552.0,5.0,5,False
2022-03-10,95.0,145213.0,7.0,4,False
2022-03-11,106.0,143792.0,8.0,13,False
2022-03-14,38.0,131118.0,9.0,6,False
2022-03-15,66.0,138617.0,11.0,5,False
2022-03-16,67.0,140284.0,12.0,9,False
2022-03-17,59.0,142842.0,11.0,9,False
